제목,내용,작성일자,url
2019년 6월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 6월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <미국> - 휴장일 없음  <홍콩> - 6/7 (금) Tuen Ng Festival   <중국(후강통/선강통)> - 6/7 (금) Tuen Ng Festival   휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/06/05 08:03,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=53029&pageNum=3&shColum=title&shKeyword=&rnum=28&menuUrl=
2019년 5월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 5월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <미국> - 5/27 (월) : Memorial Day   <홍콩> - 5/1 (수) : Labour Day - 5/13 (월) : The Birthday of the Buddha  <중국(후강통/선강통)> - 5/1 (수) : Labour Day - 5/2 (목) : Labour Day - 5/3 (금) : Labour Day - 5/10 (금) : The Birthday of the Buddha - 5/13 (월) : The day following the Birthday of the Buddha  휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/04/30 23:15,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52772&pageNum=3&shColum=title&shKeyword=&rnum=29&menuUrl=
2019년 4월 해외증시 휴장일,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 4월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 4/19 (금) : Good Friday   <홍콩> - 4/5 (금) : Ching Ming Festival- 4/19 (금) : Good Friday - 4/22 (월) : Easter Monday  <중국(후강통,선강통)> - 4/5 (금) : Ching Ming Festival - 4/19 (금) : Good Friday - 4/22 (월) : Easter Monday  ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/04/08 10:22,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52586&pageNum=3&shColum=title&shKeyword=&rnum=30&menuUrl=
미국 증시 거래시간 변경(섬머타임 시작),"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

  



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 

 

미국 섬머타임이 미국 동부시간 기준 3월 10일(일) 시작됩니다. 
따라서 국내시간 기준 3월 11일(월) 부터 미국 거래소 정규장이 
기존 23:30분에서 22:30분으로 변경되오니 착오 없으시길 바랍니다. 

 


- 2019년 3월 11일(월) 부터 미국 증시 거래시간 변경 
- 기존 : 23:30 ~ 06:00 
- 변경 : 22:30 ~ 05:00 

 

 


※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.



",2019/03/06 23:27,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52352&pageNum=4&shColum=title&shKeyword=&rnum=31&menuUrl=
2019년 3월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 3월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <미국> - 없음  <홍콩> - 없음  <중국(후강통/선강통)> - 없음  휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/02/27 23:05,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52314&pageNum=4&shColum=title&shKeyword=&rnum=32&menuUrl=
2019년 2월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 2월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <미국> - 2/18 (월) : Washington''s Birthday   <홍콩> - 2/5 (화) ~ 2/7 (목) Luna New Year  <중국(후강통/선강통)> - 2/4 (월) ~ 2/8 (금) : Luna New Year   휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/01/30 01:41,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52124&pageNum=4&shColum=title&shKeyword=&rnum=33&menuUrl=
2019년 1월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2019년 1월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <미국> - 1/1 (화) : New Year''s Day - 1/21 (월) : Martin Luther King, Jr. Day   <홍콩> - 1/1 (화) New Year''s Day   <중국(후강통/선강통)> - 1/1 (화) New Year''s Day   휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2019/01/03 00:41,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=52009&pageNum=4&shColum=title&shKeyword=&rnum=34&menuUrl=
2018년 12월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 12월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.  <홍콩>- 12/25 (화) Christmas - 12/26 (수) The first weekday after Christmas Day <중국(후강통,선강통)> - 12/24 (월) 다음 거래일 홍콩 휴장으로 인해 중국 시장 매매 불가  - 12/25 (화) 홍콩 휴장으로 중국 시장 매매 불가  - 12/26 (수) 홍콩 휴장으로 중국 시장 매매 불가  <미국>- 12/5 (수) 국가 애도의 날(National Day Of Mourning):조지 H.W. 부시 전 대통령의 장례식으로 인한 미국 휴장 - 12/25 (화) Christmas    휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/12/01 02:27,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51877&pageNum=4&shColum=title&shKeyword=&rnum=35&menuUrl=
2018년 11월 해외주식 휴장일 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 11월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 11/12 (월): Veteran’s Day (재향군인의 날)로 인한 결제일 변경 * 미국 주식 시장 정상거래  - 11/22 (목) : Thanksgiving Day (추수감사절) * 미국 주식 시장 휴장  - 11/23 (금) : Thanksgiving Day (추수감사절) * 미국 주식 시장 조기 폐장 (23:30 ~ 03:00 우리나라 시간 기준)   <홍콩> 없음.   <후강퉁(상해A)> 없음.    ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/11/02 16:18,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51760&pageNum=4&shColum=title&shKeyword=&rnum=36&menuUrl=
이벤트 종료 안내 “교보증권과 함께 해외 ETF 여행”,"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}




그동안 시행해오던 “교보증권과 함께 해외 ETF 여행” 이벤트 종료를 안내 드립니다.이벤트에 참여해주신 모든 고객님들께 감사드립니다.

 

 

1. 경품 이벤트 
- 이벤트 당첨자 발표는 개별통지

 

 

2. 매매 수수료 이벤트 종료- 이벤트 기간 중 이벤트 수수료 적용 계좌는 11월 1일부터 당사 기본 온라인 수수료 적용
- 온라인 수수료 : 미국 0.3%, 홍콩 0.3%, 중국 0.3% (제비용 별도, 최소수수료 적용)

 

 

※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.



",2018/11/01 09:17,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51750&pageNum=4&shColum=title&shKeyword=&rnum=37&menuUrl=
미국 증시 거래시간 변경(섬머타임 종료),"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}



항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 

미국 섬머타임이 미국 동부시간 기준 11월 4일(일) 02:00시 부로 종료됩니다. 
따라서 국내시간 기준 11월 5일(월) 부터 미국 거래소 정규장이 
기존 22:30분에서 23:30분으로 변경되오니 착오 없으시길 바랍니다. 


- 2018년 11월 5일 부터 미국 증시 거래시간 변경 
- 기존 : 22:30 ~ 05:00 
- 변경 : 23:30 ~ 06:00 
※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.



",2018/10/25 15:17,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51703&pageNum=4&shColum=title&shKeyword=&rnum=38&menuUrl=
[글로벌 ETF 종합 뉴스/리서치] 서비스 오픈 안내,"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

  



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 

 

아래와 같이 글로벌 ETF 종합 뉴스/리서치 서비스 개시 안내를 드리오니 참고 하시기 바랍니다.

 

 
 
- 아    래 - 
 
 
 
기존 미국 및 중국 주식 종합 뉴스/리서치 서비스에 이어 ETF 관련한 뉴스와 특화된 리서치를  제공 하오니 많은 관심 부탁 드립니다. 
 
 

1. 서비스 오픈 일시 : 2018년 10월 23일

 

2. HTS 화면번호 : [1382] 글로벌ETF종합뉴스/리서치

  

   - [1380] 중국주식종합뉴스/리서치

 

   - [1381] 미국주식종합뉴스/리서치

 

3. MTS 화면 : 교보증권 SMART K 해외주식 어플에서 리서치 열람 가능

 

4. 기타 : 관련 문의사항은 GBK부 해외주식 데스크 전화번호(02-3771-9446)로 연락 주시기 바랍니다. 
 

 

감사합니다.



",2018/10/23 10:06,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51667&pageNum=4&shColum=title&shKeyword=&rnum=39&menuUrl=
2018년 10월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 10월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <홍콩> - 10/1 (월) National Day - 10/17 (수) Chung Yeung Festival  <중국(후강통,선강통)> - 10/1 (월) ~ 10/5 (금) National Day - 10/16 (화) 홍콩휴장일 전날로 인한 휴장 - 10/17 (수) 홍콩 Chung Yeung Festival로 인한 휴장    <미국> - 없음     휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/10/01 21:58,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51592&pageNum=4&shColum=title&shKeyword=&rnum=40&menuUrl=
2018년 9월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 9월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <홍콩> - 9/25 (화) The day following the Chinese Mid-Autumn Festival  <중국(후강통,선강통)> - 9/21 (금) Mid-Autumn Festival 전날 - 9/24 (월) Mid-Autumn Festival - 9/25 (화) The day following the Chinese Mid-Autumn Festival  <미국> - 9/3 (월) Labor Day     휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/08/31 15:50,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51428&pageNum=5&shColum=title&shKeyword=&rnum=41&menuUrl=
중국 상해거래소 장 마감 동시호가 시행 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다. 8월 20일부터 중국 상해거래소의 장 마감 동시호가 제도가 시행됨에 따라 상해거래소의 운영시간 및 방식이 아래와 같이 변경되오니 거래 시 참고하여 주시기 바랍니다.   - 장 마감 동시호가 운영 시간 : 15:57 PM ~ 16:00 PM (한국시간 기준) - 장 마감 동시호가 운영 시간에 접수된 주문은 취소 불가.   ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/08/20 16:48,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51366&pageNum=5&shColum=title&shKeyword=&rnum=42&menuUrl=
2018년 8월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 8월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 휴장일 없음   <홍콩> - 휴장일 없음  <중국(후강통,선강통)> - 휴장일 없음   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/08/01 23:06,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51274&pageNum=5&shColum=title&shKeyword=&rnum=43&menuUrl=
[교보증권/미중 무역전쟁 발발 이후 통상시장 전망에 대한 세미나 개최],"


제목없음



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}

  



BODY {
	FONT-SIZE: 10pt; FONT-FAMILY: 굴림; MARGIN: 0px
}
P {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
LI {
	MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px; LINE-HEIGHT: 1.2
}
[교보증권/미중 무역전쟁 발발 이후 통상시장 전망에 대한 세미나 개최]
  
강사 : 김종훈(前 국회의원, 前 한미 FTA 통상교섭 한국측 수석대표)
일시 : 2018년 7월 17일(화) 17:00~18:00
대상 : 국제시황을 통한 투자에 관심이 있는 모든 투자자
장소 : 여의도 교보증권 본사 19층 비전홀
  
※ 신청방법 : 교보증권 국제선물부(02-3771-9091)/GBK부(02-3771-9446)로 유선 신청 및 현장 선착순 방문
 
 


<h4>첨부파일</h4>
seminar2.jpg

",2018/07/12 13:43,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51175&pageNum=5&shColum=title&shKeyword=&rnum=44&menuUrl=
2018년 7월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 7월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <홍콩> - 7/2 (월) HK sar Establishmet Day  <중국(후강통,선강통)> - 7/2 (월) 홍콩휴장일로인한 휴장일  <미국> - 7/4 (수) Independence Day 인디펜던스 데이     휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/06/27 10:16,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=51098&pageNum=5&shColum=title&shKeyword=&rnum=45&menuUrl=
2018년 6월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 6월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 휴장일 없음  <홍콩> - 6/18 (월) Tuen Ng Festival   <중국(후강통,선강통)> - 6/18 (월) Dragon Boat Festival - 6/29 (금) Independence Day (홍콩 익일 휴장으로 인해 매매 불가)  ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/06/01 22:45,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50955&pageNum=5&shColum=title&shKeyword=&rnum=46&menuUrl=
미국뉴스 / 종목 리서치 안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 미국 종합 뉴스/종목 리서치 서비스 실시 안내를 드리오니 참고 하시기 바랍니다.                                       - 다    음 -  미국 종합뉴스/종목 리서치 서비스의 개선으로, 보다 양질의 서비스를 고객님들께 제공해 드리고자 합니다.  ▷시     작 : 2018년 5월 18일 이후  ▷관련 화면 :   ①화면번호[1310] 해외주식 주문 → 미국종목 검색 → 가운데 상단 리서치,분석   ②화면번호[1381] 미국주식종합뉴스/리서치    ※참고 : 화면번호[1380] 중국주식종합뉴스/리서치    - 해외주식과 관련된 문의사항은 해외데스크로 연락부탁드리겠습니다.  - 해외주식 데스크 전화번호 : 02-3771-9400   감사합니다.

",2018/05/18 08:31,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50899&pageNum=5&shColum=title&shKeyword=&rnum=47&menuUrl=
미국의 우크라이나/러시아 제재(SANCTION)조치 관련 안내,"
		안녕하십니까, 항상 저희 교보증권을 이용해 주시는 고객 여러분께 감사의 말씀을 드립니다.  미국의 해외자산통제국(Department of Treasury＇s Office of Foreign Assets Control: OFAC)은 2018년 4월 6일에 미국의 우크라이나/러시아 SANCTION 조치와 관련하여 특별지정국민(Specially Designated Nationals: SDNs)에 해당하는 추가 단체(Entity)를 지정했습니다. 따라서 미국 entity(미국인, 미국금융기관 등)는 관련 단체(Entity)와 거래를 할 수 없고 그러한 SDNs의 재산과 재산에 대한 이익을 동결해야 합니다. 일부 SDN Entity는 금융시장에서 거래되는 증권을 발행했습니다.  이에 따라 외국보관기관(Citibank)은 미국정부의 조치를 이행하기 위하여 관련종목의 결제 및 Corporate Action을 처리할 수 없음을 예탁결제원에 통지하였습니다. 다만, 2018년 5월 7일 이전까지는 예탁결제원에서 전송한 결제지시가 SANCTION 적용대상인지 건 별로 확인하여 외국보관기관의 Compliance 규정에 따라 이상이 없다고 판단될 경우에만 마켓으로 release할 수 있으므로 결제지연 또는 결제실패의 가능성이 존재합니다. (* 5/7부터는 어떠한 경우에도 결제지시 접수 불가)  매매거래 시 상기 사항을 유의하시기 바랍니다. 동 이슈는 외국보관기관과 지속적으로 모니터링 하여 업데이트해드리겠습니다.
		
		
",2018/04/30 14:18,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50814&pageNum=5&shColum=title&shKeyword=&rnum=48&menuUrl=
2018년 5월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 5월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 5/28 (월) Memorial Day 메모리얼 데이   <홍콩> - 5/1 (화) Labor Day 노동절 - 5/22 (화) Buddah’s Birthday 석가탄신일   <중국(후강통,선강통)> - 5/1 (화) Labor Day 노동절 - 5/21~22 (월~화) 홍콩 거래소 석가탄신일 및 전일로 인한 휴장 (현지 거래소 정상 거래)   ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 GBK부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/04/30 08:01,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50806&pageNum=5&shColum=title&shKeyword=&rnum=49&menuUrl=
2018년 4월 해외증시 휴장안내,"
		항상 교보증권을 이용해 주시는 고객님께 감사드립니다.  아래와 같이 2018년 4월 해외 증시 휴장일을 안내해드리오니 거래 시 참고하여 주시기 바랍니다.   <미국> - 없음  <홍콩> - 4/2 (월)  : Easter Monday- 4/5 (목)  : Ching Ming Festival  <중국(후강통,선강통)> - 4/2 (월)  : 홍콩 Easter Monday로 인한 휴장- 4/5 (목)  : Ching Ming Festival- 4/6 (금)  : Ching Ming Festival- 4/30 (월) : Labour Day    ※ 휴장일만큼 결제일이 지연되오니 참고하시기 바랍니다.  ※ 해외 휴장일에는 주문만 불가하고, 환전, 계좌개설, 실시간 시세 사용신청 등의 업무는 기존과 동일하게 지원됩니다. 국내 휴장일 시에는 불가합니다.  ※ 상해A(후강퉁)와 심천A(선강퉁) 거래의 경우 거래 제도상 중국 현지는 정상거래이나, 후강퉁 매매는 불가할 수도 있습니다.  ※ 기타 문의 사항은 해외주식부(02-3771-9446)로 연락 주시기 바랍니다.
		
		
",2018/03/30 10:43,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50676&pageNum=5&shColum=title&shKeyword=&rnum=50&menuUrl=
[중요] 미국 및 유럽 섬머타임 시작 공지 ,"
		안녕하세요. 항상 교보증권 해외주식을 이용해 주셔서 감사드립니다. 미국/유럽 시장 섬머타임(Summer Time)시작에 따른 거래시간변경 안내 드리오니  참고 부탁드립니다.   ※섬머타임 시작(Summer Time / Daylight Savings Time) - 미국 : 2018년 3월11일 일요일 기준  ※한국시간 기준 거래시간 변경  - 미국시장 거래 : 22:30 ~ 익일 05:00    썸머타임 기간동안은 해당 국가의 시장운영이 한국시간으로 1시간씩 당겨 집니다. 참고 부탁드립니다.  감사합니다.
		
		
",2018/03/08 07:51,http://m.iprovest.com//weblogic/GlstockServlet/noticeView?sno=50578&pageNum=6&shColum=title&shKeyword=&rnum=51&menuUrl=
