Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002,47660500
2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500
2020-01-06,88.094002,90.311996,88.000000,90.307999,90.307999,50665000
2020-01-07,92.279999,94.325996,90.671997,93.811996,93.811996,89410500
2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001,155721500
2020-01-09,99.419998,99.760002,94.573997,96.267998,96.267998,142202000
2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500
2020-01-13,98.699997,105.125999,98.400002,104.972000,104.972000,132588000
2020-01-14,108.851997,109.482002,104.980003,107.584000,107.584000,144981000
2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000
2020-01-16,98.750000,102.891998,98.433998,102.697998,102.697998,108683500
2020-01-17,101.522003,103.134003,100.632004,102.099998,102.099998,68145500
2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500
2020-01-22,114.377998,118.900002,111.820000,113.912003,113.912003,156845000
2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000
2020-01-24,114.125999,114.772003,110.851997,112.963997,112.963997,71768000
2020-01-27,108.398003,112.888000,107.856003,111.603996,111.603996,68040500
2020-01-28,113.697998,115.362000,111.615997,113.379997,113.379997,58942500
2020-01-29,115.138000,117.959999,113.486000,116.197998,116.197998,89007500
2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500
2020-01-31,128.000000,130.600006,126.503998,130.113998,130.113998,78596500
2020-02-03,134.738007,157.227997,134.703995,156.000000,156.000000,236167500
2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
2020-02-05,164.651993,169.195999,140.822006,146.940002,146.940002,242119000
2020-02-06,139.983994,159.166000,137.399994,149.792007,149.792007,199404000
2020-02-07,146.110001,153.949997,146.000000,149.613998,149.613998,85317500
2020-02-10,160.000000,163.998001,150.479996,154.255997,154.255997,123446000
2020-02-11,153.757996,156.701996,151.600006,154.876007,154.876007,58487500
2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500
2020-02-13,148.367996,163.600006,147.000000,160.800003,160.800003,131446500
2020-02-14,157.444000,162.593994,157.100006,160.005997,160.005997,78468500
2020-02-18,168.320007,172.000000,166.472000,171.679993,171.679993,81908500
2020-02-19,184.699997,188.955994,180.203995,183.483994,183.483994,127115000
2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500
2020-02-21,181.395996,182.612000,176.089996,180.199997,180.199997,71574000
2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000
2020-02-25,169.800003,171.320007,157.399994,159.981995,159.981995,86452500
2020-02-26,156.500000,162.662003,155.222000,155.759995,155.759995,70427500
2020-02-27,146.000000,147.953995,133.800003,135.800003,135.800003,121386000
2020-02-28,125.940002,138.104004,122.304001,133.598007,133.598007,122821000
2020-03-02,142.251999,148.738007,137.334000,148.723999,148.723999,100975000
2020-03-03,161.000000,161.395996,143.222000,149.102005,149.102005,128920000
2020-03-04,152.792007,153.304001,144.945999,149.899994,149.899994,75245000
2020-03-05,144.753998,149.149994,143.613998,144.908005,144.908005,54263500
2020-03-06,138.000000,141.399994,136.854004,140.695999,140.695999,63314500
2020-03-09,121.078003,132.600006,121.000000,121.599998,121.599998,85368500
2020-03-10,131.886002,133.600006,121.599998,129.065994,129.065994,77972000
2020-03-11,128.039993,130.716003,122.599998,126.846001,126.846001,66612500
2020-03-12,116.178001,118.900002,109.250000,112.110001,112.110001,94545500
2020-03-13,119.000000,121.514000,100.400002,109.323997,109.323997,113201500
2020-03-16,93.900002,98.973999,88.433998,89.014000,89.014000,102447500
2020-03-17,88.001999,94.370003,79.199997,86.040001,86.040001,119973000
2020-03-18,77.800003,80.972000,70.101997,72.244003,72.244003,118931000
2020-03-19,74.940002,90.400002,71.692001,85.528000,85.528000,150977500
2020-03-20,87.639999,95.400002,85.157997,85.505997,85.505997,141427500
2020-03-23,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
2020-03-24,95.459999,102.737999,94.800003,101.000000,101.000000,114476000
2020-03-25,109.050003,111.400002,102.222000,107.849998,107.849998,106113500
2020-03-26,109.477997,112.000000,102.449997,105.632004,105.632004,86903500
2020-03-27,101.000000,105.160004,98.806000,102.872002,102.872002,71887000
2020-03-30,102.052002,103.330002,98.246002,100.426003,100.426003,59990500
2020-03-31,100.250000,108.592003,99.400002,104.800003,104.800003,88857500
2020-04-01,100.800003,102.790001,95.019997,96.311996,96.311996,66766000
2020-04-02,96.206001,98.851997,89.279999,90.893997,90.893997,99292000
2020-04-03,101.900002,103.098000,93.678001,96.001999,96.001999,112810500
